time,open,high,low,close
2009-07-31,3670.1909,3735.804,3635.5481,3734.6221
2009-08-03,3754.218,3789.9351,3716.573,3787.033
2009-08-04,3803.061,3803.061,3712.4309,3786.615
2009-08-05,3781.4009,3789.127,3691.9761,3740.936
2009-08-06,3707.907,3739.5779,3602.575,3663.1201
2009-08-07,3655.4619,3686.543,3539.697,3555.095
2009-08-10,3589.7161,3613.457,3485.364,3544.5391
2009-08-11,3558.645,3569.1499,3509.717,3556.375
2009-08-12,3546.5,3546.5,3390.3611,3397.3999
2009-08-13,3398.8889,3448.8621,3338.8479,3440.8201
2009-08-14,3437.9509,3454.9451,3334.729,3344.4619
2009-08-17,3283.436,3319.804,3137.4771,3140.271
2009-08-18,3110.708,3186.8149,3083.2029,3171.9861
2009-08-19,3178.281,3183.0071,2982.2219,3014.5681
2009-08-20,3021.251,3146.5681,3021.251,3144.3899
2009-08-21,3135.373,3221.166,3113.7041,3203.624
2009-08-24,3222.397,3241.5239,3178.856,3229.6001
2009-08-25,3210.8511,3210.8511,3019.1189,3109.8301
2009-08-26,3082.6799,3203.7859,3065.4629,3172.386
2009-08-27,3149.5659,3212.27,3116.894,3156.301
2009-08-28,3152.0371,3168.1909,3030.731,3046.781
2009-08-31,3003.543,3003.543,2825.7671,2830.271
2009-09-01,2804.584,2901.2771,2795.4861,2843.7
2009-09-02,2824.6411,2904.7859,2813.6179,2890.926
2009-09-03,2898.449,3059.9871,2892.6489,3051.9641
2009-09-04,3055.3469,3099.385,3038.99,3077.1421
2009-09-07,3097.7891,3153.2271,3078.126,3104.208
2009-09-08,3084.199,3170.967,3047.3,3170.967
2009-09-09,3188.311,3207.3879,3143.739,3194.9089
2009-09-10,3179.187,3204.124,3150.1721,3162.9141
2009-09-11,3152.8149,3253.4519,3152.689,3238.1331
2009-09-14,3248.3479,3298.905,3240.5339,3293.394
2009-09-15,3298.8101,3325.7429,3264.949,3302.6421
2009-09-16,3290.387,3296.9399,3212.4451,3258.2361
2009-09-17,3274.582,3329.116,3274.582,3320.0959
2009-09-18,3325.061,3330.4319,3170.9619,3199.689
2009-09-21,3163.512,3210.6431,3090.6069,3208.604
2009-09-22,3196.009,3237.217,3131.0161,3131.0259
2009-09-23,3130.1421,3159.1731,3041.415,3060.0691
2009-09-24,3041.8201,3122.0549,2989.2361,3080.926
2009-09-25,3057.106,3090.0691,3028.407,3058.5281
2009-09-28,3066.3679,3088.0811,2959.7439,2972.6431
2009-09-29,2975.531,2998.55,2923.926,2972.2859
2009-09-30,2992.98,3033.738,2988.292,3004.8049
2009-10-09,3078.7529,3164.031,3071.27,3163.708
2009-10-12,3181.5811,3193.5901,3151.2561,3151.6321
2009-10-13,3144.022,3199.9209,3140.498,3198.5171
2009-10-14,3209.0649,3276.553,3204.314,3227.3989
2009-10-15,3258.5459,3287.6279,3227.0879,3239.6431
2009-10-16,3250.1021,3268.425,3188.4341,3241.709
2009-10-19,3238.8479,3330.7891,3231.8069,3329.158
2009-10-20,3355.3579,3379.6299,3343.0181,3377.574
2009-10-21,3375.0271,3414.657,3358.55,3369.2849
2009-10-22,3364.145,3381.145,3341.415,3347.3201
2009-10-23,3354.9839,3436.3911,3354.9839,3413.252
2009-10-26,3421.696,3432.895,3385.4399,3414.239
2009-10-27,3384.2939,3392.1021,3314.323,3314.7219
2009-10-28,3303.7729,3337.167,3258.2739,3329.3269
2009-10-29,3265.186,3291.1799,3239.0049,3247.051
2009-10-30,3305.376,3329.54,3276.3181,3280.3721
2009-11-02,3205.835,3394.7241,3198.3091,3392.803
2009-11-03,3402.5281,3447.481,3397.2549,3435.425
2009-11-04,3443.5171,3476.3401,3415.2161,3453.8879
2009-11-05,3458.865,3471.8301,3432.26,3464.3181
2009-11-06,3491.075,3506.0271,3474.364,3483.021
2009-11-09,3487.1069,3495.887,3452.614,3495.7881
2009-11-10,3520.395,3532.186,3501.499,3503.7759
2009-11-11,3500.5859,3514.8291,3468.8589,3495.6741
2009-11-12,3506.9519,3529.061,3487.6799,3499.9919
2009-11-13,3489.5381,3518.894,3445.3601,3518.7219
2009-11-16,3541.053,3625.887,3541.053,3625.7981
2009-11-17,3644.9619,3649.4221,3619.9861,3628.354
2009-11-18,3633.8511,3652.8091,3612.7939,3630.229
2009-11-19,3638.073,3653.8989,3604.6121,3642.437
2009-11-20,3630.5759,3658.2141,3597.3059,3631.0129
2009-11-23,3636.5291,3666.27,3628.1951,3665.509
2009-11-24,3680.7461,3698.1289,3538.8579,3548.0801
2009-11-25,3541.512,3630.301,3508.0569,3629.6289
2009-11-26,3635.79,3646.6069,3472.948,3485.7729
2009-11-27,3440.343,3480.9309,3367.293,3382.51
2009-11-30,3415.0769,3511.7649,3415.0769,3511.6689
2009-12-01,3507.5591,3566.78,3485.5239,3560.8311
2009-12-02,3578.8689,3607.561,3570.2871,3597.3291
2009-12-03,3596.9519,3603.1221,3551.4819,3590.876
2009-12-04,3581.627,3646.2629,3530.0581,3643.491
2009-12-07,3644.625,3672.7981,3633.4451,3668.832
2009-12-08,3670.8069,3671.042,3590.9409,3624.019
2009-12-09,3579.282,3603.696,3543.4241,3554.478
2009-12-10,3579.8259,3601.2891,3544.9009,3577.2371
2009-12-11,3589.408,3614.9519,3568.5061,3575.02
2009-12-14,3572.531,3623.2729,3495.6389,3612.7529
2009-12-15,3594.51,3620.322,3578.283,3583.3411
2009-12-16,3568.28,3610.6851,3550.667,3560.7229
2009-12-17,3571.052,3582.439,3475.844,3480.1531
2009-12-18,3450.0449,3453.3479,3385.675,3391.7351
2009-12-21,3386.3259,3404.6421,3354.6521,3396.6221
2009-12-22,3402.228,3404.7539,3296.7649,3305.543
2009-12-23,3303.729,3342.988,3296.292,3336.48
2009-12-24,3346.7629,3445.7041,3339.2981,3438.8169
2009-12-25,3434.3259,3441.9561,3410.667,3424.783
2009-12-28,3432.8201,3489.574,3432.8201,3478.4331
2009-12-29,3481.9031,3501.2471,3451.177,3500.7371
2009-12-30,3503.8159,3561.436,3498.377,3558.8569
2009-12-31,3561.3669,3579.5181,3542.3799,3575.6841
2010-01-05,3545.186,3577.5259,3497.6609,3564.0381
2010-01-06,3558.7,3588.832,3541.1731,3541.7271
2010-01-07,3543.1599,3558.5559,3452.769,3471.4561
2010-01-08,3456.908,3482.083,3426.698,3480.1299
2010-01-11,3593.106,3594.5281,3465.3169,3482.052
2010-01-12,3477.842,3535.407,3437.6609,3534.916
2010-01-13,3448.291,3490.1121,3415.6931,3421.144
2010-01-14,3433.4719,3470.323,3411.812,3469.051
2010-01-15,3472.5239,3500.072,3448.6609,3482.738
2010-01-18,3471.7771,3501.26,3458.042,3500.6841
2010-01-19,3506.8059,3528.3899,3497.094,3507.4819
2010-01-20,3512.2461,3515.449,3387.8181,3394.4341
2010-01-21,3397.043,3425.1799,3364.7229,3408.574
